GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
601,166659745.0,799293.0,64.348,0.309,18.180555,-66.749961
602,79307535.0,4428428.0,30.621,1.71,18.361945,-67.175597
603,81884707.0,183895.0,31.616,0.071,18.455183,-67.119887
606,109579998.0,12487.0,42.309,0.005,18.158345,-66.932911
610,93013427.0,4172060.0,35.913,1.611,18.295366,-67.125135
612,175065129.0,9790062.0,67.593,3.78,18.402253,-66.711397
616,29862710.0,149156.0,11.53,0.058,18.420412,-66.671979
617,39355368.0,3980436.0,15.195,1.537,18.445147,-66.559696
622,75090747.0,1694880.0,28.993,0.654,17.991245,-67.153993
623,98351688.0,1633538.0,37.974,0.631,18.083361,-67.153897
624,111794959.0,2525012.0,43.164,0.975,18.064919,-66.716683
627,120058280.0,3507026.0,46.355,1.354,18.4126,-66.863926
631,10414671.0,669972.0,4.021,0.259,18.190607,-66.832041
637,89222632.0,25323.0,34.449,0.01,18.076713,-66.947389
638,171055430.0,493328.0,66.045,0.19,18.295913,-66.515588
641,242243035.0,3460662.0,93.531,1.336,18.263085,-66.712985
646,53682639.0,3250520.0,20.727,1.255,18.43315,-66.285875
647,39379846.0,8013314.0,15.205,3.094,17.963613,-66.947127
650,79052757.0,557193.0,30.522,0.215,18.349417,-66.578078
652,17915345.0,15537.0,6.917,0.006,18.448452,-66.594127
653,39477267.0,5203941.0,15.242,2.009,17.985033,-66.886536
656,83954600.0,4355104.0,32.415,1.682,18.053539,-66.792931
659,108213684.0,3036871.0,41.782,1.173,18.407226,-66.808999
660,29384893.0,481.0,11.346,0.0,18.134695,-67.116199
662,114927977.0,5321070.0,44.374,2.054,18.46832,-67.015781
664,117897682.0,3091.0,45.521,0.001,18.21033,-66.591616
667,156212330.0,28250306.0,60.314,10.908,18.003422,-67.03581
669,159419187.0,168344.0,61.552,0.065,18.277102,-66.869645
670,118025319.0,357845.0,45.57,0.138,18.240187,-66.988776
674,116433923.0,6871698.0,44.955,2.653,18.422908,-66.489337
676,130630343.0,56474.0,50.437,0.022,18.377637,-67.079574
677,37137333.0,3594733.0,14.339,1.388,18.332568,-67.227022
